Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000gx9n,7,"Wednesday, May 15, 2013 13:51:43 UTC",46.1478,151.1171,5.3,119.80,510,"Kuril Islands"
ak,10717428,1,"Wednesday, May 15, 2013 13:46:45 UTC",66.8296,-146.7077,2.1,3.70,10,"northern Alaska"
ak,10717419,1,"Wednesday, May 15, 2013 13:39:09 UTC",60.5814,-151.1574,2.6,26.50,32,"Kenai Peninsula, Alaska"
ak,10717426,2,"Wednesday, May 15, 2013 13:26:57 UTC",51.5903,-176.1132,2.7,35.70,10,"Andreanof Islands, Aleutian Islands, Alaska"
us,2013qfay,4,"Wednesday, May 15, 2013 13:20:28 UTC",13.0417,-88.7707,4.4,84.20,85,"offshore El Salvador"
ak,10717408,1,"Wednesday, May 15, 2013 13:04:58 UTC",63.7247,-147.9773,1.4,101.80,17,"Central Alaska"
ak,10717396,1,"Wednesday, May 15, 2013 12:41:47 UTC",60.3223,-152.4291,2.9,100.50,41,"Southern Alaska"
ak,10717395,1,"Wednesday, May 15, 2013 12:38:20 UTC",63.4508,-151.1184,1.1,0.80, 5,"Central Alaska"
us,c000gx86,5,"Wednesday, May 15, 2013 12:29:12 UTC",32.5857,105.1947,4.7,16.50,54,"Sichuan-Gansu border region, China"
pr,13135003,0,"Wednesday, May 15, 2013 12:26:58 UTC",18.2213,-68.5569,2.9,101.00, 6,"Mona Passage, Dominican Republic"
ak,10717387,1,"Wednesday, May 15, 2013 12:06:22 UTC",60.4036,-152.0243,2.4,92.20,19,"Southern Alaska"
nc,71991876,2,"Wednesday, May 15, 2013 12:04:20 UTC",36.4757,-120.4757,2.1,10.50,36,"Central California"
nc,71991871,3,"Wednesday, May 15, 2013 12:01:49 UTC",37.1800,-121.6817,1.1,4.90,23,"Northern California"
nc,71991861,0,"Wednesday, May 15, 2013 11:48:36 UTC",38.7902,-122.7305,1.0,2.50,12,"Northern California"
ak,10717384,1,"Wednesday, May 15, 2013 11:37:03 UTC",62.2761,-150.1556,1.4,35.70, 9,"Central Alaska"
uu,60023687,2,"Wednesday, May 15, 2013 11:25:51 UTC",44.7265,-111.2457,1.0,15.30,11,"western Montana"
ak,10717381,1,"Wednesday, May 15, 2013 11:22:26 UTC",63.2550,-151.3247,1.1,17.20, 5,"Central Alaska"
se,051513b,B,"Wednesday, May 15, 2013 11:01:48 UTC",37.9541,-78.0063,2.3,0.20, 6,"Virginia"
